,N,t,dt
0,168,0.00020271499997761566,6.345723145683479e-05
1,204,0.0001820050001697382,1.0876228996669267e-05
2,253,0.0002612275999126723,4.973277676927588e-05
3,317,0.0004880751997916377,5.4460060308083035e-05
4,398,0.0005486095997184748,0.00012237301024424683
5,498,0.0012516525999672012,0.0005118599079495369
